"Id";"ScreenName";"Description";"Name";"FollowersCount";"Protected";"Verified";"GeoEnabled";"StatusesCount";"FriendsCount";"Language";"ModificationTimestamp"
-1;"null";"";"";0;"0";"";"";0;0;"";"2015-04-03 04:35:14"
12;"jack";"";"";0;"0";"";"";0;0;"";"2015-02-04 02:02:45"
13;"biz";"";"Biz Stone";0;"0";"";"";0;0;"";"2015-02-04 02:11:47"
15;"crystal";"";"crystal";0;"0";"";"";0;0;"";"2015-02-06 17:22:49"
16;"jeremy";"";"Jeremy";0;"0";"";"";0;0;"";"2015-02-05 22:43:24"
20;"ev";"";"Evan Williams";0;"0";"";"";0;0;"";"2015-02-04 01:59:38"
22;"rabble";"";"";0;"0";"";"";0;0;"";"2015-02-06 00:06:25"
24;"meredith";"";"meredith";0;"0";"";"";0;0;"";"2015-02-06 17:44:34"
47;"kellan";"";"";0;"0";"";"";0;0;"";"2015-02-05 14:28:45"
53;"sara";"";"sara ";0;"0";"";"";0;0;"";"2015-02-05 22:56:15"
56;"kati";"";"Kati";0;"0";"";"";0;0;"";"2015-02-04 04:38:22"
57;"SarahM";"";"Sarah Milstein";0;"0";"";"";0;0;"";"2015-02-05 11:06:35"
60;"andrew";"";"Andrew Dorsey";0;"0";"";"";0;0;"";"2015-02-27 15:17:25"
61;"dan";"";"Dan";0;"0";"";"";0;0;"";"2015-02-05 16:23:16"
64;"livia";"";"";0;"0";"";"";0;0;"";"2015-02-09 01:47:42"
81;"susan";"";"Susan";0;"0";"";"";0;0;"";"2015-03-18 20:18:50"
89;"al";"";"Allison Williams";0;"0";"";"";0;0;"";"2015-02-04 03:58:36"
92;"Mike";"";"Mike Michon";0;"0";"";"";0;0;"";"2015-02-04 15:22:48"
107;"pud";"";"";0;"0";"";"";0;0;"";"2015-02-08 03:51:41"
208;"bethany";"";"bethany";0;"0";"";"";0;0;"";"2015-02-04 03:45:21"
209;"phil";"";"Phil";0;"0";"";"";0;0;"";"2015-02-28 02:11:45"
222;"Nic";"";"Nic Werner";0;"0";"";"";0;0;"";"2015-02-04 15:22:51"
224;"davepell";"";"";0;"0";"";"";0;0;"";"2015-02-16 22:17:24"
236;"precipice";"";"Marc Hedlund";0;"0";"";"";0;0;"";"2015-02-09 16:42:08"
242;"victor";"";"Victor";0;"0";"";"";0;0;"";"2015-02-04 16:48:40"
257;"rael";"";"";0;"0";"";"";0;0;"";"2015-02-16 22:28:10"
259;"ian";"";"";0;"0";"";"";0;0;"";"2015-02-28 11:51:28"
265;"leah";"";"leah";0;"0";"";"";0;0;"";"2015-02-05 23:01:38"
279;"Angela";"";"Angela";0;"0";"";"";0;0;"";"2015-03-04 12:07:05"
280;"glen";"";"Glen";0;"0";"";"";0;0;"";"2015-02-07 01:05:12"
291;"goldman";"";"";0;"0";"";"";0;0;"";"2015-02-04 02:17:46"
292;"cw";"";"Chris Wetherell";0;"0";"";"";0;0;"";"2015-02-06 00:47:00"
293;"mai";"";"Mai Le";0;"0";"";"";0;0;"";"2015-02-04 02:22:39"
306;"steph";"";"steph";0;"0";"";"";0;0;"";"2015-02-08 08:45:15"
307;"jenni";"";"Jenni";0;"0";"";"";0;0;"";"2015-02-11 10:27:00"
344;"Bob";"";"Bob Johnston";0;"0";"";"";0;0;"";"2015-02-09 02:48:44"
346;"jo";"";"jo";0;"0";"";"";0;0;"";"2015-02-06 01:58:03"
380;"kevin";"";"Kevin S.";0;"0";"";"";0;0;"";"2015-02-06 23:35:27"
418;"dens";"";"";0;"0";"";"";0;0;"";"2015-02-04 11:53:07"
422;"shellen";"";"Jason Shellen";0;"0";"";"";0;0;"";"2015-02-15 06:16:07"
430;"Richard";"";"Richard";0;"0";"";"";0;0;"";"2015-02-26 19:55:51"
432;"cb";"";"Chris Baum";0;"0";"";"";0;0;"";"2015-02-16 23:49:26"
446;"rae";"";"rae brune";0;"0";"";"";0;0;"";"2015-02-15 01:02:42"
448;"Maggie";"";"";0;"0";"";"";0;0;"";"2015-02-04 21:00:57"
456;"davegray";"";"";0;"0";"";"";0;0;"";"2015-02-14 23:50:02"
469;"Fabian";"";"Fabian";0;"0";"";"";0;0;"";"2015-02-14 22:43:52"
506;"jot";"";"Jonathan Markwell";0;"0";"";"";0;0;"";"2015-02-06 01:11:38"
556;"ch";"";"charlie";0;"0";"";"";0;0;"";"2015-02-05 22:38:15"
572;"crisdias";"";"Cristiano Dias";0;"0";"";"";0;0;"";"2015-02-05 19:23:11"
581;"Ari";"";"Ariel McNichol";0;"0";"";"";0;0;"";"2015-03-05 03:10:25"
586;"sacca";"";"";0;"0";"";"";0;0;"";"2015-02-04 02:21:15"
591;"Naina";"";"";0;"0";"";"";0;0;"";"2015-02-04 20:43:11"
607;"mg";"";"Matt Galligan";0;"0";"";"";0;0;"";"2015-02-04 02:54:52"
633;"zephoria";"";"danah boyd";0;"0";"";"";0;0;"";"2015-02-06 01:46:36"
648;"heif";"";"";0;"0";"";"";0;0;"";"2015-02-26 01:41:20"
649;"MaryHodder";"";"";0;"0";"";"";0;0;"";"2015-02-15 02:37:15"
674;"Annie";"";"Annie";0;"0";"";"";0;0;"";"2015-02-28 12:19:29"
675;"Anthony";"";"Anthony Lynch";0;"0";"";"";0;0;"";"2015-02-19 20:55:27"
718;"jshugars";"";"Jason Shugars";0;"0";"";"";0;0;"";"2015-02-04 21:06:45"
722;"neha";"";"Neha Narula";0;"0";"";"";0;0;"";"2015-02-05 22:50:36"
753;"mc";"";"Matt";0;"0";"";"";0;0;"";"2015-02-04 21:13:52"
765;"seanbonner";"";"";0;"0";"";"";0;0;"";"2015-02-05 23:30:34"
767;"xenijardin";"";"";0;"0";"";"";0;0;"";"2015-02-04 04:04:44"
781;"may";"";"May Woo";0;"0";"";"";0;0;"";"2015-02-06 20:56:43"
785;"kfury";"";"";0;"0";"";"";0;0;"";"2015-02-05 23:48:38"
801;"maddo";"";"Siddharth Sharma";0;"0";"";"";0;0;"";"2015-02-04 03:11:30"
849;"largeheartedboy";"";"David Gutowski";0;"0";"";"";0;0;"";"2015-02-04 08:51:08"
874;"waynesutton";"";"";0;"0";"";"";0;0;"";"2015-02-12 03:10:14"
883;"Jena";"";"Jena";0;"0";"";"";0;0;"";"2015-02-06 21:53:39"
885;"Ross";"";"Ross Mayfield";0;"0";"";"";0;0;"";"2015-03-05 08:12:22"
888;"caroline";"";"caroline";0;"0";"";"";0;0;"";"2015-02-05 22:31:33"
898;"Lori";"";"Lo";0;"0";"";"";0;0;"";"2015-03-13 17:26:49"
903;"Hunter";"";"Hunter";0;"0";"";"";0;0;"";"2015-02-15 03:20:10"
913;"alba";"";"Eric Alba";0;"0";"";"";0;0;"";"2015-02-06 01:52:19"
918;"mac";"";"Mac Steve";0;"0";"";"";0;0;"";"2015-02-06 01:39:15"
929;"justin";"";"";0;"0";"";"";0;0;"";"2015-02-04 15:45:40"
939;"michael";"";"Michael Ferguson";0;"0";"";"";0;0;"";"2015-02-04 14:48:55"
953;"Ho";"";"Edward H";0;"0";"";"";0;0;"";"2015-02-05 17:08:20"
981;"Morgan1st";"";"Morgan First";0;"0";"";"";0;0;"";"2015-02-15 10:35:48"
982;"bri";"";"bri";0;"0";"";"";0;0;"";"2015-02-12 02:33:16"
985;"mastermaq";"";"Mack D. Male";0;"0";"";"";0;0;"";"2015-02-05 23:36:30"
989;"om";"";"";0;"0";"";"";0;0;"";"2015-02-04 02:22:06"
997;"tedr";"";"";0;"0";"";"";0;0;"";"2015-02-09 04:11:01"
1025;"robert";"";"Robert";0;"0";"";"";0;0;"";"2015-02-19 19:28:20"
1038;"martijn";"";"";0;"0";"";"";0;0;"";"2015-02-16 20:18:38"
1068;"kurt";"";"Kurt Schrader";0;"0";"";"";0;0;"";"2015-02-24 11:30:32"
1070;"gavin";"";"";0;"0";"";"";0;0;"";"2015-02-06 18:53:17"
1081;"davemcclure";"";"Dave McClure";0;"0";"";"";0;0;"";"2015-02-04 02:32:50"
1084;"nick";"";"Nick Douglas";0;"0";"";"";0;0;"";"2015-02-16 21:01:30"
1116;"Macc";"";"Macc";0;"0";"";"";0;0;"";"2015-02-08 23:59:03"
1135;"brandon";"";"";0;"0";"";"";0;0;"";"2015-02-09 03:47:19"
1140;"paul";"";"";0;"0";"";"";0;0;"";"2015-02-04 03:17:52"
1144;"Carli";"";"Carli";0;"0";"";"";0;0;"";"2015-02-06 22:10:03"
1153;"AndrewCrow";"";"";0;"0";"";"";0;0;"";"2015-02-05 11:41:36"
1154;"peterme";"";"Peter Merholz";0;"0";"";"";0;0;"";"2015-02-04 11:30:37"
1159;"Darryl";"";"Darryl";0;"0";"";"";0;0;"";"2015-02-06 00:22:41"
1192;"missrogue";"";"";0;"0";"";"";0;0;"";"2015-02-11 11:28:10"
1199;"gabe";"";"Gabriel Jeffrey";0;"0";"";"";0;0;"";"2015-02-17 02:28:39"
1293;"brianoberkirch";"";"";0;"0";"";"";0;0;"";"2015-02-16 00:11:16"
1317;"enochchoi";"";"";0;"0";"";"";0;0;"";"2015-02-06 19:19:10"
1398;"billg";"";"Bill Geiser";0;"0";"";"";0;0;"";"2015-02-05 19:49:49"
1428;"danny";"";"danny";0;"0";"";"";0;0;"";"2015-02-28 14:38:17"
1523;"safire";"";"";0;"0";"";"";0;0;"";"2015-02-09 03:41:48"
1530;"skyy";"";"Rob";0;"0";"";"";0;0;"";"2015-03-07 22:16:07"
1585;"dhinchcliffe";"";"";0;"0";"";"";0;0;"";"2015-02-15 02:36:18"
1624;"hobronto";"";"";0;"0";"";"";0;0;"";"2015-02-05 16:43:44"
1675;"Ada";"";"Ada";0;"0";"";"";0;0;"";"2015-02-05 19:56:31"
1688;"ifindkarma";"";"Adam Rifkin";0;"0";"";"";0;0;"";"2015-02-06 19:39:04"
1756;"jackie";"";"jackie";0;"0";"";"";0;0;"";"2015-02-16 20:33:21"
1950;"deka";"";"Brian Deka Paupaw";0;"0";"";"";0;0;"";"2015-03-05 06:04:02"
1952;"PhoneBoy";"";"PhoneBoy/Dameon";0;"0";"";"";0;0;"";"2015-02-24 11:47:03"
1968;"JonnNubian";"";"";0;"0";"";"";0;0;"";"2015-02-06 19:06:04"
2039;"w";"";"Walter";0;"0";"";"";0;0;"";"2015-02-04 03:00:29"
2172;"laughingsquid";"";"Laughing Squid";0;"0";"";"";0;0;"";"2015-02-04 02:09:54"
2179;"smith";"";"Richard Smith";0;"0";"";"";0;0;"";"2015-02-08 21:58:36"
2279;"Keith";"";"";0;"0";"";"";0;0;"";"2015-02-06 00:14:29"
2320;"frankie";"";"frankie";0;"0";"";"";0;0;"";"2015-03-15 14:00:47"
2343;"Mattia";"";"Mattia Poggioli";0;"0";"";"";0;0;"";"2015-02-08 23:19:41"
2391;"mulegirl";"";"Erika Hall";0;"0";"";"";0;0;"";"2015-02-04 21:01:25"
2405;"arjanwrites";"";"Arjan Writes";0;"0";"";"";0;0;"";"2015-02-04 09:56:25"
2426;"Mike_FTW";"";"";0;"0";"";"";0;0;"";"2015-02-04 02:54:55"
2442;"chris";"";"";0;"0";"";"";0;0;"";"2015-02-04 02:45:18"
2559;"Kat";"";"Kat";0;"0";"";"";0;0;"";"2015-02-06 23:12:13"
2618;"vanderwal";"";"Thomas Vander Wal";0;"0";"";"";0;0;"";"2015-02-09 00:27:28"
2647;"Craig";"";"Craig Lancaster";0;"0";"";"";0;0;"";"2015-03-04 08:59:15"
2653;"emilyd";"";"";0;"0";"";"";0;0;"";"2015-03-18 20:07:13"
2654;"data4all";"";"";0;"0";"";"";0;0;"";"2015-02-24 12:36:06"
2693;"dougimbruce";"";"";0;"0";"";"";0;0;"";"2015-02-12 08:14:57"
2741;"Robyn";"";"Robyn";0;"0";"";"";0;0;"";"2015-02-11 13:36:24"
2806;"blakestar";"";"Blake Burris";0;"0";"";"";0;0;"";"2015-02-04 09:38:44"
2874;"thomasknoll";"";"Thomas Knoll";0;"0";"";"";0;0;"";"2015-02-11 21:35:59"
2881;"con";"";"Constantinos Michael";0;"0";"";"";0;0;"";"2015-02-06 01:26:50"
2900;"jeffisageek";"";"";0;"0";"";"";0;0;"";"2015-02-04 21:15:14"
2923;"Zesmerelda";"";"";0;"0";"";"";0;0;"";"2015-02-15 00:20:55"
2984;"go";"";"Michael Buffington";0;"0";"";"";0;0;"";"2015-02-16 18:04:58"
2986;"DanPatterson";"";"Dan Patterson";0;"0";"";"";0;0;"";"2015-02-04 10:37:59"
2987;"flixya";"";"";0;"0";"";"";0;0;"";"2015-02-06 19:02:58"
3032;"brett";"";"Brett Petersel";0;"0";"";"";0;0;"";"2015-02-04 12:35:46"
3036;"Dhrumil";"";"";0;"0";"";"";0;0;"";"2015-04-03 05:44:51"
3065;"flaviadurante";"";"";0;"0";"";"";0;0;"";"2015-02-15 23:27:27"
3083;"pea";"";"Benji Chan";0;"0";"";"";0;0;"";"2015-02-06 00:57:06"
3121;"EC";"";"EC";0;"0";"";"";0;0;"";"2015-02-04 11:46:02"
3144;"eduardonasi";"";"";0;"0";"";"";0;0;"";"2015-03-13 17:00:42"
3148;"mahadewa";"";"";0;"0";"";"";0;0;"";"2015-02-05 22:52:41"
3175;"Pandora";"";"Pandora";0;"0";"";"";0;0;"";"2015-02-11 13:03:24"
3205;"SaheliDatta";"";"Saheli Datta";0;"0";"";"";0;0;"";"2015-02-06 18:00:05"
3249;"TripleM";"";"";0;"0";"";"";0;0;"";"2015-02-06 19:51:32"
3272;"ale";"";"anh-minh le";0;"0";"";"";0;0;"";"2015-02-05 16:57:59"
3278;"gabriel";"";"Gabriel Nogueira";0;"0";"";"";0;0;"";"2015-02-06 14:16:26"
3330;"3rdparty";"";"Josh Newman";0;"0";"";"";0;0;"";"2015-02-04 02:08:58"
3336;"vimoh";"";"";0;"0";"";"";0;0;"";"2015-02-07 16:07:29"
3346;"Rick";"";"Ricardo Clemente";0;"0";"";"";0;0;"";"2015-02-06 21:43:42"
3364;"cjoh";"";"Clay Johnson";0;"0";"";"";0;0;"";"2015-02-06 00:48:17"
3365;"KarlFrisch";"";"Karl Frisch";0;"0";"";"";0;0;"";"2015-02-04 03:06:45"
3382;"hnshah";"";"";0;"0";"";"";0;0;"";"2015-02-04 10:55:21"
3384;"dustin";"";"dustin";0;"0";"";"";0;0;"";"2015-02-06 00:25:00"
3403;"Navin";"";"Navin Sigamany";0;"0";"";"";0;0;"";"2015-03-04 08:59:07"
3416;"randyjensen";"";"Randy";0;"0";"";"";0;0;"";"2015-02-04 09:46:08"
3469;"ericw";"";"Eric Wahlforss";0;"0";"";"";0;0;"";"2015-02-04 11:31:51"
3471;"dylan20";"";"D. Tweney";0;"0";"";"";0;0;"";"2015-02-05 11:45:25"
3475;"davemorin";"";"Dave Morin";0;"0";"";"";0;0;"";"2015-02-06 23:46:31"
3476;"brit";"";"Brittany Bohnet";0;"0";"";"";0;0;"";"2015-02-16 18:27:43"
3493;"gac";"";"gac";0;"0";"";"";0;0;"";"2015-02-24 13:33:19"
3501;"So";"";"Soraia Diniz";0;"0";"";"";0;0;"";"2015-02-08 12:05:18"
3520;"seth";"";"seth goldstein";0;"0";"";"";0;0;"";"2015-02-18 04:42:31"
3531;"Beth";"";"Beth V.";0;"0";"";"";0;0;"";"2015-02-04 17:53:12"
3634;"hiway";"";"";0;"0";"";"";0;0;"";"2015-02-10 06:50:39"
3669;"pg";"";"PG Holmlov";0;"0";"";"";0;0;"";"2015-02-06 23:39:18"
3680;"Paula";"";"Dagmar";0;"0";"";"";0;0;"";"2015-02-06 18:43:49"
3712;"davesag";"";"";0;"0";"";"";0;0;"";"2015-02-09 03:43:00"
3713;"scottjanousek";"";"";0;"0";"";"";0;0;"";"2015-02-05 11:29:57"
3750;"mkelley";"";"";0;"0";"";"";0;0;"";"2015-02-18 02:52:45"
3774;"Ira";"";"Ira";0;"0";"";"";0;0;"";"2015-02-09 15:35:00"
3839;"davewiner";"";"";0;"0";"";"";0;0;"";"2015-02-04 02:49:49"
3840;"Jason";"";"Jason Calacanis";0;"0";"";"";0;0;"";"2015-02-04 02:47:13"
3861;"Bo";"";"Bo McFarland";0;"0";"";"";0;0;"";"2015-02-07 22:06:22"
3864;"Sa";"";"Sabrina";0;"0";"";"";0;0;"";"2015-02-04 04:36:15"
3911;"ivan";"";"Ivan Freitas";0;"0";"";"";0;0;"";"2015-02-10 19:16:57"
3922;"ceedub";"";"Cameron Walters";0;"0";"";"";0;0;"";"2015-02-27 02:16:48"
3938;"Alessandra";"";"Alessandra";0;"0";"";"";0;0;"";"2015-02-08 08:43:23"
3968;"earcos";"";"Eduardo Arcos";0;"0";"";"";0;0;"";"2015-02-04 20:59:17"
4030;"monstro";"";"Lane Becker";0;"0";"";"";0;0;"";"2015-02-09 03:10:30"
4037;"sh";"";"Sarah Hatter";0;"0";"";"";0;0;"";"2015-02-05 16:28:30"
4225;"cha";"";"Cha";0;"0";"";"";0;0;"";"2015-02-04 21:03:30"
4266;"nana";"";"nana";0;"0";"";"";0;0;"";"2015-02-17 16:11:20"
4270;"dw";"";"darren webb";0;"0";"";"";0;0;"";"2015-02-06 01:27:50"
4276;"renedepaula";"";"";0;"0";"";"";0;0;"";"2015-02-07 08:26:01"
4350;"japa";"";"William";0;"0";"";"";0;0;"";"2015-02-04 11:45:05"
4488;"Borthwick";"";"";0;"0";"";"";0;0;"";"2015-02-09 23:09:58"
4525;"vincent";"";"vincent";0;"0";"";"";0;0;"";"2015-02-16 20:36:11"
4531;"Jill";"";"jill stauffer";0;"0";"";"";0;0;"";"2015-03-15 10:18:41"
4578;"paulsmith";"";"Paul Smith";0;"0";"";"";0;0;"";"2015-02-08 05:20:15"
4590;"oli";"";"Oli Watts";0;"0";"";"";0;0;"";"2015-02-08 09:34:24"
4607;"nancyscola";"";"Nancy Scola";0;"0";"";"";0;0;"";"2015-02-11 14:38:09"
4696;"elliottng";"";"";0;"0";"";"";0;0;"";"2015-02-16 10:48:19"
4711;"sippey";"";"";0;"0";"";"";0;0;"";"2015-02-15 13:06:44"
4734;"eng";"";"Brian Eng";0;"0";"";"";0;0;"";"2015-02-14 23:55:25"
4777;"hardik";"";"Hardik Shah";0;"0";"";"";0;0;"";"2015-02-05 22:53:41"
4791;"johncabell";"";"John C Abell";0;"0";"";"";0;0;"";"2015-02-04 16:23:31"
4793;"gomez";"";"Fernando Gomes";0;"0";"";"";0;0;"";"2015-02-04 20:24:32"
4816;"EFF";"";"EFF";0;"0";"";"";0;0;"";"2015-02-04 02:00:01"
4828;"ellingson";"";"";0;"0";"";"";0;0;"";"2015-02-04 11:18:55"
4833;"simplebits";"";"";0;"0";"";"";0;0;"";"2015-02-05 18:54:42"
4864;"Monica_Spune";"";"";0;"0";"";"";0;0;"";"2015-02-11 10:23:39"
4999;"fraying";"";"";0;"0";"";"";0;0;"";"2015-02-07 23:11:59"
5017;"joshu";"";"joshua schachter";0;"0";"";"";0;0;"";"2015-02-11 09:45:09"
5091;"jb";"";"Josh Bryant";0;"0";"";"";0;0;"";"2015-03-17 15:53:05"
5093;"democracy";"";"";0;"0";"";"";0;0;"";"2015-02-06 01:16:53"
5107;"mb";"";"Matthew Bischoff";0;"0";"";"";0;0;"";"2015-02-28 00:43:31"
5127;"Helen";"";"Helen";0;"0";"";"";0;0;"";"2015-02-27 20:44:56"
5149;"ITSinsider";"";"";0;"0";"";"";0;0;"";"2015-02-05 19:28:29"
5171;"Maurice";"";"Maurice";0;"0";"";"";0;0;"";"2015-03-05 00:51:24"
5202;"bon";"";"John Blackbourn";0;"0";"";"";0;0;"";"2015-02-17 02:54:41"
5215;"naveen";"";"";0;"0";"";"";0;0;"";"2015-02-06 00:02:02"
5236;"toby";"";"Toby Padilla";0;"0";"";"";0;0;"";"2015-02-06 21:03:14"
5239;"susannah";"";"susannah";0;"0";"";"";0;0;"";"2015-02-06 18:09:08"
5242;"ahmed";"";"Ahmed Al Omran";0;"0";"";"";0;0;"";"2015-02-06 17:04:13"
5255;"dago";"";"dago";0;"0";"";"";0;0;"";"2015-02-16 19:54:02"
5256;"kaz";"";"Adam Kazwell";0;"0";"";"";0;0;"";"2015-02-26 01:36:21"
5264;"dr";"";"";0;"0";"";"";0;0;"";"2015-02-04 09:39:39"
5285;"Jay";"";"Jay Reilly";0;"0";"";"";0;0;"";"2015-02-05 14:23:08"
5307;"marc";"";"marc";0;"0";"";"";0;0;"";"2015-02-05 23:59:26"
5362;"britt";"";"Britt Crawford";0;"0";"";"";0;0;"";"2015-02-12 04:29:23"
5382;"Jonas_Blind_Hen";"";"";0;"0";"";"";0;0;"";"2015-02-27 23:53:39"
5454;"Alyssa";"";"Alyssa";0;"0";"";"";0;0;"";"2015-02-09 18:24:34"
5457;"stephenrandall";"";"Stephen Randall";0;"0";"";"";0;0;"";"2015-03-04 11:53:41"
5479;"nu";"";"? NU";0;"0";"";"";0;0;"";"2015-02-04 03:06:17"
5488;"Daniel";"";"Daniel Eberhardt";0;"0";"";"";0;0;"";"2015-02-16 19:56:50"
5511;"f";"";"Fred Oliveira";0;"0";"";"";0;0;"";"2015-02-04 04:24:02"
5523;"pat";"";"Pat Allan";0;"0";"";"";0;0;"";"2015-02-06 01:19:18"
5554;"mellis";"";"";0;"0";"";"";0;0;"";"2015-02-28 12:14:37"
5567;"robertbrook";"";"";0;"0";"";"";0;0;"";"2015-04-03 05:46:14"
5568;"jh";"";"John Hornbaker";0;"0";"";"";0;0;"";"2015-02-11 12:05:43"
5583;"e";"";"erin";0;"0";"";"";0;0;"";"2015-02-04 14:43:06"
5645;"RussThornton";"";"";0;"0";"";"";0;0;"";"2015-03-12 18:28:49"
5670;"chr";"";"chrille peterson";0;"0";"";"";0;0;"";"2015-02-04 14:27:44"
5679;"cat";"";"cathy";0;"0";"";"";0;0;"";"2015-02-05 11:32:48"
5702;"Caterina";"";"Caterina";0;"0";"";"";0;0;"";"2015-02-06 19:04:30"
5727;"mcm";"";"Marcelo Moulin";0;"0";"";"";0;0;"";"2015-02-06 17:49:59"
5814;"tempo";"";"";0;"0";"";"";0;0;"";"2015-02-06 17:32:25"
5841;"stirman";"";"";0;"0";"";"";0;0;"";"2015-02-05 16:27:31"
5865;"philip";"";"Philip Suffren";0;"0";"";"";0;0;"";"2015-02-06 18:09:52"
5879;"edwin";"";"Edwin Ong";0;"0";"";"";0;0;"";"2015-02-09 08:00:41"
5943;"brian";"";"Brian van Veen";0;"0";"";"";0;0;"";"2015-02-06 19:40:03"
5977;"raja";"";"Raja Bhatia";0;"0";"";"";0;0;"";"2015-03-04 12:43:15"
6068;"pau";"";"Pau Garcia-Milà";0;"0";"";"";0;0;"";"2015-02-05 22:45:01"
6136;"nzben";"";"Ben Gracewood";0;"0";"";"";0;0;"";"2015-02-16 09:05:37"
6140;"brady";"";"brady forrest";0;"0";"";"";0;0;"";"2015-03-04 21:13:32"
6301;"jacbowie";"";"";0;"0";"";"";0;0;"";"2015-02-04 20:08:30"
6407;"Cory";"";"Cory!";0;"0";"";"";0;0;"";"2015-02-14 22:44:36"
6512;"noor";"";"Noor Ali-Hasan";0;"0";"";"";0;0;"";"2015-03-04 08:59:08"
6547;"vikingkarwur";"";"";0;"0";"";"";0;0;"";"2015-02-28 11:52:10"
6579;"larrysmith";"";"Larry Smith";0;"0";"";"";0;0;"";"2015-03-07 21:20:44"
6600;"boetter";"";"";0;"0";"";"";0;0;"";"2015-02-04 04:17:19"
6721;"miker";"";"Mike Rowehl";0;"0";"";"";0;0;"";"2015-02-06 01:22:28"
6735;"rsa";"";"";0;"0";"";"";0;0;"";"2015-02-07 01:42:57"
6761;"str";"";"Sandro T. Rafael";0;"0";"";"";0;0;"";"2015-02-04 03:47:02"
6855;"TO";"";"Terrassorkestern";0;"0";"";"";0;0;"";"2015-02-09 02:42:37"
6857;"Miriam";"";"Miriam Anton";0;"0";"";"";0;0;"";"2015-02-24 17:27:57"
6936;"patricia";"";"Patrícia";0;"0";"";"";0;0;"";"2015-03-05 04:43:48"
6941;"jyri";"";"";0;"0";"";"";0;0;"";"2015-02-05 19:14:31"
6954;"iheartquotes";"";"";0;"0";"";"";0;0;"";"2015-02-04 02:04:20"
7011;"DavidWright";"";"David Wright";0;"0";"";"";0;0;"";"2015-02-24 20:06:31"
7012;"linda";"";"linda";0;"0";"";"";0;0;"";"2015-02-24 16:43:46"
7040;"Ne";"";"Ne";0;"0";"";"";0;0;"";"2015-02-04 17:37:57"
7047;"TMorais";"";"";0;"0";"";"";0;0;"";"2015-02-06 17:53:10"
7093;"Ces";"";"Ces White";0;"0";"";"";0;0;"";"2015-02-11 11:00:59"
7139;"ji";"";"Jordan";0;"0";"";"";0;0;"";"2015-03-12 09:17:09"
7224;"Vinko";"";"Vinko Tsui";0;"0";"";"";0;0;"";"2015-02-04 17:30:11"
7230;"Claus";"";"";0;"0";"";"";0;0;"";"2015-02-17 07:53:54"
7247;"Luci";"";"Luci";0;"0";"";"";0;0;"";"2015-02-09 02:17:36"
7283;"abonel";"";"";0;"0";"";"";0;0;"";"2015-02-11 12:35:05"
7429;"gusnasis";"";"";0;"0";"";"";0;0;"";"2015-02-16 22:19:41"
7482;"arainert";"";"Alex Rainert";0;"0";"";"";0;0;"";"2015-02-24 17:02:21"
7493;"leland";"";"leland rechis";0;"0";"";"";0;0;"";"2015-02-09 04:07:35"
7512;"bigyahu";"";"alan jones";0;"0";"";"";0;0;"";"2015-03-06 10:07:27"
7540;"Master";"";"Loget  X";0;"0";"";"";0;0;"";"2015-02-05 16:53:58"
7648;"Shizzy4eva";"";"";0;"0";"";"";0;0;"";"2015-02-08 21:56:09"
7693;"tony";"";"tony";0;"0";"";"";0;0;"";"2015-03-15 19:01:25"
7698;"marius";"";"marius a. eriksen";0;"0";"";"";0;0;"";"2015-03-15 13:50:03"
7703;"Umerr";"";"Umer";0;"0";"";"";0;0;"";"2015-03-08 06:00:51"
7737;"neil";"";"Neil Drumm";0;"0";"";"";0;0;"";"2015-02-15 01:42:51"
7755;"brownpau";"";"";0;"0";"";"";0;0;"";"2015-02-05 19:08:11"
7836;"leandro";"";"Leandro Siqueira";0;"0";"";"";0;0;"";"2015-03-17 22:20:51"
7846;"ijustine";"";"iJustine";0;"0";"";"";0;0;"";"2015-02-04 02:33:06"
7914;"KO";"";"KO";0;"0";"";"";0;0;"";"2015-02-05 19:24:08"
8180;"csavage";"";"Chris Savage";0;"0";"";"";0;0;"";"2015-03-12 14:34:05"
8264;"alicia";"";"Alicia";0;"0";"";"";0;0;"";"2015-02-10 20:30:36"
8279;"zoe";"";"zoe";0;"0";"";"";0;0;"";"2015-02-07 18:05:47"
8310;"arnab";"";"Arnab Sen";0;"0";"";"";0;0;"";"2015-02-07 20:04:31"
8324;"per";"";"Per Thelin";0;"0";"";"";0;0;"";"2015-02-05 16:22:54"
8412;"alexknowshtml";"";"Alex Hillman";0;"0";"";"";0;0;"";"2015-02-09 03:39:37"
8491;"elizabeth";"";"Elizabeth Weil";0;"0";"";"";0;0;"";"2015-02-11 09:30:07"
8569;"ruby";"";"Ruby Sinreich";0;"0";"";"";0;0;"";"2015-02-06 00:51:17"
8584;"Megan";"";"Megan McCarthy";0;"0";"";"";0;0;"";"2015-02-18 04:43:45"
8612;"js";"";"Jamie";0;"0";"";"";0;0;"";"2015-02-04 04:10:49"
8722;"andrewparker";"";"";0;"0";"";"";0;0;"";"2015-02-07 22:08:55"
8943;"jesus";"";"";0;"0";"";"";0;0;"";"2015-02-05 13:52:39"
8963;"alfarhan";"";"Fouad Alfarhan";0;"0";"";"";0;0;"";"2015-02-06 17:04:13"
9020;"brody";"";"brody boudreaux";0;"0";"";"";0;0;"";"2015-02-08 00:41:10"
